# key	loại	nguồn (rỗng = sinh file mẫu)
# SINH TỰ ĐỘNG bởi scripts/seed/generate_seed.py — đừng sửa tay.
avatars/9001/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=duonghaigiang&size=256
avatars/9002/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=hoangthanhlong&size=256
avatars/9003/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=nguyenhoangbaotranthucdoanphuongvy&size=256
avatars/9004/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=vunhattien&size=256
avatars/9005/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=tranhaithinh&size=256
avatars/9006/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=danghuuthinh&size=256
avatars/9007/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=trantruchuyen&size=256
avatars/9008/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=nguyenvanquan&size=256
avatars/9010/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=maituantuan&size=256
avatars/9011/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=hotuonglinh&size=256
avatars/9012/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=phanlannhi&size=256
avatars/9013/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=trantienlong&size=256
avatars/9014/avatar.png	avatar	https://i.pravatar.cc/256?img=55
avatars/9015/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=huynhlannhung&size=256
avatars/9016/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=nguyenminhhuy&size=256
avatars/9017/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=phambaoan&size=256
avatars/9018/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=dinhtuandat&size=256
avatars/9019/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=duongvantam&size=256
avatars/9021/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=dothihoa&size=256
avatars/9022/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=duongtuongthu&size=256
avatars/9023/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=phananhvu&size=256
avatars/9024/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=lethidiep&size=256
avatars/9025/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=vuanhtu&size=256
avatars/9026/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=mainhunga&size=256
avatars/9027/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=truongthianh&size=256
avatars/9028/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=ngongocyen&size=256
avatars/9029/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=truongthanhkhue&size=256
avatars/9030/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=dinhgiaduy&size=256
avatars/9032/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=lyvanhai&size=256
avatars/9033/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=dangthuhan&size=256
avatars/9034/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=duongminhgiang&size=256
avatars/9035/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=dangcongtrung&size=256
avatars/9036/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=tothudiep&size=256
avatars/9037/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=ngoconghai&size=256
avatars/9038/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=dangminhanh&size=256
avatars/9039/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=vokhanhhieu&size=256
avatars/9040/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=phanbaothinh&size=256
avatars/9041/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=ngoquynhthao&size=256
avatars/9043/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=toyenanh&size=256
avatars/9044/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=maithudiep&size=256
avatars/9045/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=vutrungtam&size=256
avatars/9046/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=hoquangcuong&size=256
avatars/9047/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=toanhtu&size=256
avatars/9048/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=dotienphuc&size=256
avatars/9049/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=toduchuy&size=256
avatars/9050/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=phamyenphuong&size=256
avatars/9051/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=ngodieuquyen&size=256
avatars/9052/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=duongphuongquyen&size=256
avatars/9054/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=duongvankhoa&size=256
avatars/9055/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=dinhlanchi&size=256
avatars/9056/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=hoangthuyoanh&size=256
avatars/9057/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=hotuannghia&size=256
avatars/9058/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=truonghalan&size=256
avatars/9059/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=ngohaithinh&size=256
avatars/9060/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=donhatlam&size=256
avatars/9061/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=danghaivu&size=256
avatars/9062/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=tothanhkhoa&size=256
avatars/9063/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=dinhgiathang&size=256
avatars/9065/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=hoangtuannam&size=256
avatars/9066/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=nguyenvanlam&size=256
avatars/9067/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=truongxuandung&size=256
avatars/9068/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=hoanglannhi&size=256
avatars/9069/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=maithituyet&size=256
avatars/9070/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=phamnhatkien&size=256
avatars/9071/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=vuanhhoa&size=256
avatars/9072/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=hoduccuong&size=256
avatars/9073/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=dangtuantrung&size=256
avatars/9074/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=dangkhanhhuy&size=256
avatars/9076/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=hovanson&size=256
avatars/9077/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=duongtuongquyen&size=256
avatars/9078/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=phamduytam&size=256
avatars/9079/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=lethuyyen&size=256
avatars/9080/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=vutuanhieu&size=256
avatars/9081/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=danglantrang&size=256
avatars/9082/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=votrungdat&size=256
avatars/9083/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=dinhkhanhdat&size=256
avatars/9084/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=dangnhatduy&size=256
avatars/9085/avatar.png	avatar	https://i.pravatar.cc/256?img=56
avatars/9087/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=phanductien&size=256
avatars/9088/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=nguyentuanvu&size=256
avatars/9089/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=ngohaikien&size=256
avatars/9090/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=trandieuthu&size=256
avatars/9091/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=trannhatdung&size=256
avatars/9092/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=hothanhvinh&size=256
avatars/9093/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=tranthanhngan&size=256
avatars/9094/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=huynhhahoa&size=256
avatars/9095/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=phamtuankien&size=256
avatars/9096/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=truonganhgiang&size=256
avatars/9098/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=huynhtuanlam&size=256
avatars/9099/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=nguyenhaihai&size=256
avatars/9100/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=lynhumai&size=256
avatars/9101/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=vobaophong&size=256
avatars/9102/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=duongngocnhung&size=256
avatars/9103/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=dohuudung&size=256
avatars/9104/avatar.png	avatar	https://api.dicebear.com/9.x/avataaars/png?seed=hovanduy&size=256
